basket_type,n_stocks,stocks,ticker,weight
Thomas-style,3,FANG|IMO|PSX,IMO,0.40073854059993486
Thomas-style,3,FANG|IMO|PSX,PSX,0.3648028089030028
Thomas-style,3,ENB|FANG|PSX,ENB,0.40203476973895214
Thomas-style,3,ENB|FANG|PSX,FANG,0.30760609840954245
Thomas-style,3,ENB|FANG|PSX,PSX,0.29035913185150547
Thomas-style,3,FANG|PSX|TRP,FANG,0.31601449835628626
Thomas-style,3,FANG|PSX|TRP,PSX,0.341704473194828
Thomas-style,3,FANG|PSX|TRP,TRP,0.34228102844888575
Thomas-style,3,FANG|PBA|PSX,FANG,0.27446519268390274
Thomas-style,3,FANG|PBA|PSX,PBA,0.43146576533093095
Thomas-style,3,FANG|PBA|PSX,PSX,0.29406904198516626
Thomas-style,3,FANG|PSX|WMB,FANG,0.27067447481537427
Thomas-style,3,FANG|PSX|WMB,PSX,0.3326850229869046
Thomas-style,3,FANG|PSX|WMB,WMB,0.39664050219772123
Thomas-style,3,CNQ|FANG|VLO,CNQ,0.48853430148531163
Thomas-style,3,CNQ|FANG|VLO,FANG,0.18146498075017078
Thomas-style,3,CNQ|FANG|VLO,VLO,0.3300007177645176
Thomas-style,3,CVE|FANG|VLO,CVE,0.2854726378194634
Thomas-style,3,CVE|FANG|VLO,FANG,0.3084291542862674
Thomas-style,3,CVE|FANG|VLO,VLO,0.4060982078942692
Thomas-style,3,FANG|SU|VLO,FANG,0.22382386868125992
Thomas-style,3,FANG|SU|VLO,SU,0.47926695422103005
Thomas-style,3,FANG|SU|VLO,VLO,0.2969091770977099
Thomas-style,3,FANG|IMO|VLO,FANG,0.27128491802740856
Thomas-style,3,FANG|IMO|VLO,IMO,0.4381820943001862
Thomas-style,3,FANG|IMO|VLO,VLO,0.29053298767240526
Thomas-style,3,ENB|FANG|VLO,ENB,0.43123549471669526
Thomas-style,3,ENB|FANG|VLO,FANG,0.3172629647581367
Thomas-style,3,ENB|FANG|VLO,VLO,0.2515015405251681
Thomas-style,3,FANG|TRP|VLO,FANG,0.333060210255084
Thomas-style,3,FANG|TRP|VLO,TRP,0.3758495562917959
Thomas-style,3,FANG|TRP|VLO,VLO,0.29109023345312024
Thomas-style,3,FANG|PBA|VLO,FANG,0.29300077430390215
Thomas-style,3,FANG|PBA|VLO,PBA,0.46290835549811177
Thomas-style,3,FANG|PBA|VLO,VLO,0.24409087019798612
Thomas-style,3,FANG|VLO|WMB,FANG,0.28373987077218615
Thomas-style,3,FANG|VLO|WMB,VLO,0.2827999722703267
Thomas-style,3,FANG|VLO|WMB,WMB,0.43346015695748713
Thomas-style,3,CNQ|DVN|MPC,CNQ,0.4597957247960286
Thomas-style,3,CNQ|DVN|MPC,DVN,0.1439754291897097
Thomas-style,3,CNQ|DVN|MPC,MPC,0.3962288460142617
Thomas-style,3,CVE|DVN|MPC,CVE,0.27624048274697643
