,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
TRP,0.5008116944641908,0.43336549463391744,0.354665268400738,0.6029605443835767,0.49031111246395875,0.5438688306831758,0.32038602891059553,0.34250116037606804,0.19991048309416756,0.48239018388090277,1.0,0.4414541662757221,0.6898006168012816,0.4882217430134825,0.45325899533290953,0.4809197075672837,0.38093654169491353,0.4066191660811928,0.39613095311471785,0.3155652371744284,0.36615879980279936,0.30463387770551426,0.47546311618107556,0.450080197109089,0.4139754866206419,0.15538347452119183,0.37259143846286075,0.4483273556945145,0.24750756756428371,0.38784070169787704,0.40133187113033686,0.38685052683094356,0.5303489674530865,0.3929799916211072,0.5429325414142488,0.3424957997473306,0.5171435162621473,0.44667203059398664
E,0.6116875053757465,0.5968844485445491,0.5506673488957049,0.522344521326998,0.5929995776641245,0.5280301243642913,0.3889753968963831,0.534238027948777,0.3002268745524719,0.5712082494236712,0.4414541662757221,1.0,0.5666032585531469,0.7554522947475467,0.5659679659465572,0.6689096170919591,0.6098595142239381,0.6252073294198397,0.6131546397517892,0.3859761401369492,0.5607723322137566,0.4714891818838967,0.5723301874211613,0.5398317779547342,0.5192354336816148,0.20141652718622732,0.5891479153437191,0.5958143941647013,0.3068539238156339,0.5557963693163978,0.40428838160211433,0.7013673247705464,0.43933364665092806,0.6789562753639002,0.6471306433281457,0.374970830739515,0.6314526150086024,0.5684818504086584
PBA,0.5265460531305948,0.5229149696128971,0.5736621244586445,0.6530994564579904,0.5435936537221424,0.6634726691447469,0.30526639465886796,0.6031536866145674,0.38920456097886125,0.6432529252485695,0.6898006168012816,0.5666032585531469,1.0,0.6038216930562564,0.6339625131163911,0.49893565728603173,0.5688058178145082,0.6464261075557394,0.6349994926377156,0.5453309078535251,0.5769053863773838,0.4448499281636168,0.5225612848055184,0.5103350452930215,0.6920964582038154,0.3941756501589798,0.5437262383167003,0.5653481827271943,0.3970694656524315,0.5861078146316131,0.4714206608738088,0.6516573448940592,0.7147949222829775,0.6146446072879684,0.6463916899715162,0.34333962685095126,0.6056070061386436,0.5084627588481596
EQNR,0.6504709391433081,0.6188469628729745,0.7066812214317943,0.5757159556699626,0.5723027647789881,0.5785388139501465,0.3550786939218654,0.6866660392501962,0.4827384366342262,0.7038239388724339,0.4882217430134825,0.7554522947475467,0.6038216930562564,1.0,0.6727443725827371,0.6195656398115388,0.7344549210490264,0.7056667836579061,0.7431066594865728,0.5447488819985487,0.6393414106595994,0.5764431969427604,0.6122755833638472,0.5925803327492245,0.6100480031544181,0.5512341075393051,0.6585891262253033,0.6619021884495807,0.4854543323468721,0.692677150788059,0.442209948482978,0.7444632948325367,0.5439547215498728,0.7593168298530504,0.7078969519060295,0.29515216405086037,0.6675422205124891,0.5840201710007358
IMO,0.5898209126635603,0.60437631796767,0.5584948087683475,0.5465204665834019,0.6024890146136557,0.5905188717833907,0.4035312594040309,0.5327007572758181,0.25840547778210027,0.7091696602217349,0.45325899533290953,0.5659679659465572,0.6339625131163911,0.6727443725827371,1.0,0.6082908679773418,0.5483078735134229,0.5766889063744723,0.5844140852862922,0.36651295992095506,0.5469533040099398,0.46555974803108974,0.6217043281392377,0.5669219939496114,0.46868727941303884,0.19258387856218934,0.5818839731517376,0.6573862582227117,0.32967595298871877,0.6007909165429276,0.4766806003167765,0.5353941366042695,0.4147930270846699,0.565385640273461,0.7516529359513674,0.4064170046417985,0.7352301082317804,0.5525397490064295
TS,0.581902927963374,0.6310206150099489,0.6249209948025355,0.5020399722908415,0.641009500372363,0.5314196251921643,0.4266189417963443,0.6603679476798535,0.21076417152744595,0.6373043904088157,0.4809197075672837,0.6689096170919591,0.49893565728603173,0.6195656398115388,0.6082908679773418,1.0,0.6181524111816439,0.6310346028262589,0.6362796317216286,0.49727420261917143,0.6630869254371263,0.5384829670160496,0.5437551380370367,0.5103688665769587,0.524205706255687,0.31935991405162145,0.6099980855801943,0.5761908702289527,0.3426664284920927,0.6127968864510107,0.41967081962433556,0.6375687597869496,0.4839549609171495,0.6223718809006955,0.6403673363859974,0.4856856615637698,0.6116072353938287,0.5726955355068666
XOM,0.5881217286852186,0.6207832629808675,0.5906804653743327,0.5806544291869276,0.6608174120140781,0.5416029910646972,0.4159094619876317,0.5758850952371375,0.23480508647513235,0.5774347782160943,0.38093654169491353,0.6098595142239381,0.5688058178145082,0.7344549210490264,0.5483078735134229,0.6181524111816439,1.0,0.6977094396784836,0.5697637297382399,0.36659775484704377,0.6266627233462331,0.4454901536149515,0.6901958860625851,0.6208258914419429,0.4835486224401474,0.1739482763810437,0.627470726663763,0.6721615590600541,0.2963398181617503,0.6100238114985791,0.4896848959051637,0.620456540055686,0.3506254325233957,0.5769374651949472,0.6508381283688593,0.3469417637106817,0.6620840477523479,0.5483377598472284
CVX,0.6099531595663922,0.6436286615063279,0.6039535746162535,0.6345304010014077,0.6684373667070287,0.5918055750467099,0.43468988948282467,0.5581598099993678,0.24825133516391354,0.6138586811993064,0.4066191660811928,0.6252073294198397,0.6464261075557394,0.7056667836579061,0.5766889063744723,0.6310346028262589,0.6977094396784836,1.0,0.6086898727107257,0.3895881027358106,0.6327610322378366,0.4521909777786589,0.6865814471971436,0.6256148408791176,0.49463207592937675,0.18839385480475573,0.622664959321601,0.6735568177999067,0.3211058357989075,0.6305303125814508,0.4746281899007501,0.6270773441839181,0.3762201013539604,0.5664378334239502,0.6934360730867078,0.37253282304124,0.6727149162567977,0.581749308622197
COP,0.595231354786427,0.6638406124598796,0.6535312796938393,0.6244923167435156,0.6703911189086574,0.6333256875020213,0.42118167911045606,0.5128027084293997,0.2571476909963378,0.6423959885372805,0.39613095311471785,0.6131546397517892,0.6349994926377156,0.7431066594865728,0.5844140852862922,0.6362796317216286,0.5697637297382399,0.6086898727107257,1.0,0.3323658410895776,0.535933327295846,0.3916055503019086,0.6764709130094098,0.6120968779387512,0.42452749414980784,0.18852388504387851,0.550357758873289,0.7509199012156251,0.3442199707693376,0.6947127911604996,0.5072791738078206,0.5883502368234164,0.3728736498993354,0.5331592422720426,0.7312522769522053,0.3777882691255877,0.7231710644688757,0.5870865704128179
WMB,0.500283183141374,0.4198279082442933,0.3921011309013678,0.668872001693696,0.5871798942004209,0.6424590666275476,0.3335924936308552,0.38323001101355325,0.187131933406696,0.39004329871022125,0.3155652371744284,0.3859761401369492,0.5453309078535251,0.5447488819985487,0.36651295992095506,0.49727420261917143,0.36659775484704377,0.3895881027358106,0.3323658410895776,1.0,0.3801860560246338,0.3304138874618813,0.46249667212889845,0.4930109499644421,0.3920831613030953,0.1641995879087286,0.36744187583513804,0.4616710850050651,0.21958225062239453,0.41261496763351996,0.561705452067127,0.3537671087484904,0.29245940479551336,0.3568176546335048,0.4488540071019561,0.2727703942455521,0.47932320464464795,0.383333308733393
