date,ticker_1,ticker_2,window,rolling_correlation
2014-04-02,TTE,SHEL,252,0.3372768879399656
2014-04-03,TTE,SHEL,252,0.33723080903497543
2014-04-04,TTE,SHEL,252,0.33717146585466756
2014-04-07,TTE,SHEL,252,0.3372696869237245
2014-04-08,TTE,SHEL,252,0.3370267856448155
2014-04-09,TTE,SHEL,252,0.33863734297248427
2014-04-10,TTE,SHEL,252,0.34160550600336165
2014-04-11,TTE,SHEL,252,0.3410628766220971
2014-04-14,TTE,SHEL,252,0.34118793988217927
2014-04-15,TTE,SHEL,252,0.3459315167812362
2014-04-16,TTE,SHEL,252,0.3472455269636933
2014-04-17,TTE,SHEL,252,0.36189531591212715
2014-04-21,TTE,SHEL,252,0.3620676082335849
2014-04-22,TTE,SHEL,252,0.3581167257113423
2014-04-23,TTE,SHEL,252,0.3497287274274327
2014-04-24,TTE,SHEL,252,0.34455013544487456
2014-04-25,TTE,SHEL,252,0.34262686504522777
2014-04-28,TTE,SHEL,252,0.3425124340057946
2014-04-29,TTE,SHEL,252,0.3486149489909812
2014-04-30,TTE,SHEL,252,0.35156082624269386
2014-05-01,TTE,SHEL,252,0.3523003952001929
2014-05-02,TTE,SHEL,252,0.35020419446648693
2014-05-05,TTE,SHEL,252,0.3506327265052403
2014-05-06,TTE,SHEL,252,0.35087684142735487
2014-05-07,TTE,SHEL,252,0.35188108687391867
2014-05-08,TTE,SHEL,252,0.3540203855795915
2014-05-09,TTE,SHEL,252,0.35707947659634365
2014-05-12,TTE,SHEL,252,0.35590855057281395
2014-05-13,TTE,SHEL,252,0.3518459346144401
2014-05-14,TTE,SHEL,252,0.35001497116951474
2014-05-15,TTE,SHEL,252,0.3511308609388454
2014-05-16,TTE,SHEL,252,0.35167967214206236
2014-05-19,TTE,SHEL,252,0.35155505798479925
2014-05-20,TTE,SHEL,252,0.35329028412047064
2014-05-21,TTE,SHEL,252,0.3547246278954118
2014-05-22,TTE,SHEL,252,0.3466905313564182
2014-05-23,TTE,SHEL,252,0.347246963870738
2014-05-27,TTE,SHEL,252,0.3518455463141583
2014-05-28,TTE,SHEL,252,0.3510235737855993
2014-05-29,TTE,SHEL,252,0.3516141913103424
2014-05-30,TTE,SHEL,252,0.35260328395458
2014-06-02,TTE,SHEL,252,0.3548888785831648
2014-06-03,TTE,SHEL,252,0.35489781595302544
2014-06-04,TTE,SHEL,252,0.3535208046560974
2014-06-05,TTE,SHEL,252,0.3536465534562561
2014-06-06,TTE,SHEL,252,0.36079389135636847
2014-06-09,TTE,SHEL,252,0.36124218198421254
2014-06-10,TTE,SHEL,252,0.35935076218013756
2014-06-11,TTE,SHEL,252,0.35987470785241
2014-06-12,TTE,SHEL,252,0.3635666339785112
2014-06-13,TTE,SHEL,252,0.36319672204271075
2014-06-16,TTE,SHEL,252,0.37019920074344503
2014-06-17,TTE,SHEL,252,0.37188867483556726
2014-06-18,TTE,SHEL,252,0.3743950217344228
2014-06-19,TTE,SHEL,252,0.3871868326443414
2014-06-20,TTE,SHEL,252,0.376321254868191
2014-06-23,TTE,SHEL,252,0.3759561043654009
2014-06-24,TTE,SHEL,252,0.3755139571648942
2014-06-25,TTE,SHEL,252,0.37553788559115997
2014-06-26,TTE,SHEL,252,0.36656287133735327
2014-06-27,TTE,SHEL,252,0.3624527664575187
2014-06-30,TTE,SHEL,252,0.36498182638064025
2014-07-01,TTE,SHEL,252,0.36589093360892333
2014-07-02,TTE,SHEL,252,0.36553458806323114
2014-07-03,TTE,SHEL,252,0.366562211078786
2014-07-07,TTE,SHEL,252,0.3680268952700918
2014-07-08,TTE,SHEL,252,0.37166113323739675
2014-07-09,TTE,SHEL,252,0.37150649025850135
2014-07-10,TTE,SHEL,252,0.3770430307789259
2014-07-11,TTE,SHEL,252,0.3533520770621169
2014-07-14,TTE,SHEL,252,0.3521540014725286
2014-07-15,TTE,SHEL,252,0.3554909534477453
2014-07-16,TTE,SHEL,252,0.3568164158503511
2014-07-17,TTE,SHEL,252,0.3643818259118195
2014-07-18,TTE,SHEL,252,0.36059647068307593
2014-07-21,TTE,SHEL,252,0.3605079053949224
2014-07-22,TTE,SHEL,252,0.35954110421977215
2014-07-23,TTE,SHEL,252,0.3594411439229252
2014-07-24,TTE,SHEL,252,0.35923429280642244
2014-07-25,TTE,SHEL,252,0.3626446932884356
2014-07-28,TTE,SHEL,252,0.3624972356131992
2014-07-29,TTE,SHEL,252,0.36131341161641156
2014-07-30,TTE,SHEL,252,0.3802593681549266
2014-07-31,TTE,SHEL,252,0.3536870096982231
2014-08-01,TTE,SHEL,252,0.3745835427666843
2014-08-04,TTE,SHEL,252,0.3783500236193371
2014-08-05,TTE,SHEL,252,0.37802058221161744
2014-08-06,TTE,SHEL,252,0.37862546017446674
2014-08-07,TTE,SHEL,252,0.3780839451628832
2014-08-08,TTE,SHEL,252,0.37644769145734486
2014-08-11,TTE,SHEL,252,0.37539076848455005
2014-08-12,TTE,SHEL,252,0.3796807296182521
2014-08-13,TTE,SHEL,252,0.37960822493774987
2014-08-14,TTE,SHEL,252,0.3794333847023367
2014-08-15,TTE,SHEL,252,0.37891848568121356
2014-08-18,TTE,SHEL,252,0.3790832313849463
2014-08-19,TTE,SHEL,252,0.3786649900143702
2014-08-20,TTE,SHEL,252,0.3771542002299518
2014-08-21,TTE,SHEL,252,0.37483303086883996
2014-08-22,TTE,SHEL,252,0.3769163451181563
2014-08-25,TTE,SHEL,252,0.37878513819324466
2014-08-26,TTE,SHEL,252,0.37797463197017545
2014-08-27,TTE,SHEL,252,0.3761542164845309
2014-08-28,TTE,SHEL,252,0.3714914096720885
2014-08-29,TTE,SHEL,252,0.3622469673011712
2014-09-02,TTE,SHEL,252,0.36083716845501607
2014-09-03,TTE,SHEL,252,0.36114753646843756
2014-09-04,TTE,SHEL,252,0.3627718745887064
2014-09-05,TTE,SHEL,252,0.36384156886487723
2014-09-08,TTE,SHEL,252,0.35944158097358936
2014-09-09,TTE,SHEL,252,0.36302949754037844
2014-09-10,TTE,SHEL,252,0.36086244372069376
2014-09-11,TTE,SHEL,252,0.36040850520136924
2014-09-12,TTE,SHEL,252,0.36000888332221953
2014-09-15,TTE,SHEL,252,0.35890704163580833
2014-09-16,TTE,SHEL,252,0.3607893107062859
2014-09-17,TTE,SHEL,252,0.3609168799100473
2014-09-18,TTE,SHEL,252,0.3563288164911721
2014-09-19,TTE,SHEL,252,0.3560997841275263
2014-09-22,TTE,SHEL,252,0.35680871354100524
2014-09-23,TTE,SHEL,252,0.3645092341127514
2014-09-24,TTE,SHEL,252,0.36750798713313
2014-09-25,TTE,SHEL,252,0.3507422478372489
2014-09-26,TTE,SHEL,252,0.3510122806048423
2014-09-29,TTE,SHEL,252,0.35154438642713115
2014-09-30,TTE,SHEL,252,0.34716504062856296
2014-10-01,TTE,SHEL,252,0.3469888207798473
2014-10-02,TTE,SHEL,252,0.36002922253744674
2014-10-03,TTE,SHEL,252,0.3615654861591461
2014-10-06,TTE,SHEL,252,0.3614773799128706
2014-10-07,TTE,SHEL,252,0.36561693863113975
2014-10-08,TTE,SHEL,252,0.36208274899923776
2014-10-09,TTE,SHEL,252,0.3494443870654592
2014-10-10,TTE,SHEL,252,0.36949952724476254
2014-10-13,TTE,SHEL,252,0.3694198722649712
2014-10-14,TTE,SHEL,252,0.3712438492118615
2014-10-15,TTE,SHEL,252,0.3719575001461572
2014-10-16,TTE,SHEL,252,0.3771870436083107
2014-10-17,TTE,SHEL,252,0.3732101593194584
2014-10-20,TTE,SHEL,252,0.37175830839267854
2014-10-21,TTE,SHEL,252,0.40131512933977576
2014-10-22,TTE,SHEL,252,0.40691805883237914
2014-10-23,TTE,SHEL,252,0.4117165978109443
2014-10-24,TTE,SHEL,252,0.40986834293899993
2014-10-27,TTE,SHEL,252,0.40713901395304786
2014-10-28,TTE,SHEL,252,0.40658440360342774
2014-10-29,TTE,SHEL,252,0.40525456691830225
2014-10-30,TTE,SHEL,252,0.40525382985174363
2014-10-31,TTE,SHEL,252,0.40124814273830345
2014-11-03,TTE,SHEL,252,0.415353372432097
2014-11-04,TTE,SHEL,252,0.4258174794964671
2014-11-05,TTE,SHEL,252,0.4259178425776475
2014-11-06,TTE,SHEL,252,0.42516114444368125
2014-11-07,TTE,SHEL,252,0.4252783994834395
2014-11-10,TTE,SHEL,252,0.4263951884166258
2014-11-11,TTE,SHEL,252,0.42469736502790495
2014-11-12,TTE,SHEL,252,0.42335877680096984
2014-11-13,TTE,SHEL,252,0.4269574083145016
2014-11-14,TTE,SHEL,252,0.4303241364468934
2014-11-17,TTE,SHEL,252,0.4280747723971298
2014-11-18,TTE,SHEL,252,0.427679204406116
2014-11-19,TTE,SHEL,252,0.43069026621271056
2014-11-20,TTE,SHEL,252,0.4435338092630763
2014-11-21,TTE,SHEL,252,0.44907837301668985
2014-11-24,TTE,SHEL,252,0.44888516853803767
2014-11-25,TTE,SHEL,252,0.4505301516966026
2014-11-26,TTE,SHEL,252,0.45659994590451475
2014-11-28,TTE,SHEL,252,0.5186017103072739
2014-12-01,TTE,SHEL,252,0.5215992903105808
2014-12-02,TTE,SHEL,252,0.5177559967985708
2014-12-03,TTE,SHEL,252,0.5172219841129573
2014-12-04,TTE,SHEL,252,0.5195318914216523
2014-12-05,TTE,SHEL,252,0.5196497872302274
2014-12-08,TTE,SHEL,252,0.5132730671065971
2014-12-09,TTE,SHEL,252,0.5086394543829779
2014-12-10,TTE,SHEL,252,0.5148232731142438
2014-12-11,TTE,SHEL,252,0.5142947971693553
2014-12-12,TTE,SHEL,252,0.5106153055024397
2014-12-15,TTE,SHEL,252,0.5156106786590416
2014-12-16,TTE,SHEL,252,0.5032124789657969
2014-12-17,TTE,SHEL,252,0.49148116203152176
2014-12-18,TTE,SHEL,252,0.49173624815858963
2014-12-19,TTE,SHEL,252,0.4918156061733112
2014-12-22,TTE,SHEL,252,0.4920498872173425
2014-12-23,TTE,SHEL,252,0.49024657434979524
2014-12-24,TTE,SHEL,252,0.4901583771386857
2014-12-26,TTE,SHEL,252,0.49065650689814627
2014-12-29,TTE,SHEL,252,0.49009163151613433
2014-12-30,TTE,SHEL,252,0.4934014803436361
2014-12-31,TTE,SHEL,252,0.4953399392006715
2015-01-02,TTE,SHEL,252,0.4936133407230912
2015-01-05,TTE,SHEL,252,0.5260533160302544
2015-01-06,TTE,SHEL,252,0.5236859506086822
2015-01-07,TTE,SHEL,252,0.5258250257994195
2015-01-08,TTE,SHEL,252,0.5288370353779172
2015-01-09,TTE,SHEL,252,0.5314151090036507
2015-01-12,TTE,SHEL,252,0.5293401709967216
2015-01-13,TTE,SHEL,252,0.5278103415599847
2015-01-14,TTE,SHEL,252,0.5275488577229854
2015-01-15,TTE,SHEL,252,0.5284753304594373
2015-01-16,TTE,SHEL,252,0.5372109630241686
2015-01-20,TTE,SHEL,252,0.5393298533862704
2015-01-21,TTE,SHEL,252,0.5369338576001192
