basket_type,n_stocks,stocks,test_correlation,test_r_squared,test_tracking_error,test_rmse,annualized_xom_volatility,annualized_basket_volatility,volatility_reduction,xom_final_wealth,basket_final_wealth,xom_max_drawdown,basket_max_drawdown
Thomas-style,3,OXY|PSX|SU,0.7656928503636118,0.5289608252792035,0.010745652346657253,0.010742309595374845,0.24891549641880834,0.2494561858258144,-0.0021721805784897796,151.76733944897228,178.6248583075126,-0.20133304516380612,-0.17112310660932772
Thomas-style,3,CNQ|PSX|TRP,0.7380700799289248,0.5293244073476834,0.010748211169432698,0.010738162949701714,0.24891549641880834,0.213801963129798,0.14106607983108732,151.76733944897228,171.84047454976948,-0.20133304516380612,-0.12729932378763997
Thomas-style,3,OXY|PBA|PSX,0.7378610841815965,0.529846386135034,0.010750735367962342,0.010732206991675139,0.24891549641880834,0.21365945009335047,0.14163861564544156,151.76733944897228,157.486493238677,-0.20133304516380612,-0.13102850697787183
Thomas-style,3,DVN|PBA|PSX,0.7368056461068644,0.5293269824683051,0.01075580165646924,0.010738133574795614,0.24891549641880834,0.21222398395467582,0.14740549701412675,151.76733944897228,160.0324367016433,-0.20133304516380612,-0.12226457259464274
Thomas-style,3,FANG|PSX|SU,0.7600933709515425,0.5276540177303461,0.01075667995098444,0.01075720050995634,0.24891549641880834,0.2439283304587871,0.02003557846647752,151.76733944897228,182.0161304439036,-0.20133304516380612,-0.15763726770410602
Thomas-style,3,EOG|MPC|SU,0.7631396532357001,0.5286360655825548,0.010759290072726392,0.010746012119794184,0.24891549641880834,0.24737637100728063,0.006183324998529138,151.76733944897228,167.824010003137,-0.20133304516380612,-0.12475584469895429
Thomas-style,3,CVE|EOG|PSX,0.7785863819516557,0.5264239728506017,0.010782677821255984,0.010771197915230141,0.24891549641880834,0.2637982300161831,-0.05979030559163756,151.76733944897228,170.24457066519753,-0.20133304516380612,-0.14020284540335648
Thomas-style,3,EOG|IMO|VLO,0.7610001086721565,0.5232528736746646,0.010820656459714573,0.010807200105859786,0.24891549641880834,0.24797918071856323,0.003761580591470026,151.76733944897228,167.77738813296008,-0.20133304516380612,-0.12448094815574073
Thomas-style,3,FANG|PBA|PSX,0.7287697265361678,0.5193463521047852,0.010869381290749288,0.010851387500579741,0.24891549641880834,0.20823375633024388,0.1634359478371572,151.76733944897228,159.76642222726272,-0.20133304516380612,-0.11113996061872256
Thomas-style,3,EOG|VLO|WMB,0.7298835145540996,0.5173870108702223,0.010893091347099922,0.010873482357663588,0.24891549641880834,0.21251158371062293,0.14625008579994014,151.76733944897228,151.91357031024677,-0.20133304516380612,-0.09814923655248142
Thomas-style,3,EOG|MPC|WMB,0.7329038029737658,0.5167999095500141,0.010899508014280251,0.010880094172594468,0.24891549641880834,0.21792201793176136,0.12451405771418689,151.76733944897228,148.9602722286692,-0.20133304516380612,-0.11845256340710697
Thomas-style,3,DVN|PSX|SU,0.7575061731445506,0.5148004725560603,0.010900513768156329,0.010902581342592999,0.24891549641880834,0.2480278394817142,0.003566097530547596,151.76733944897228,183.72514471152854,-0.20133304516380612,-0.15876339076615176
Thomas-style,3,CNQ|PBA|PSX,0.7316106656950895,0.5160972717572663,0.010900876636442224,0.010888001857625352,0.24891549641880834,0.21601769881465607,0.13216452200629836,151.76733944897228,168.83214327513326,-0.20133304516380612,-0.12843445936474585
Thomas-style,3,CNQ|PSX|WMB,0.7293141812422202,0.5160656634290113,0.010904170705876978,0.010888357451732283,0.24891549641880834,0.2125216774285329,0.14620953501842915,151.76733944897228,164.42973391337443,-0.20133304516380612,-0.11857105309403793
Thomas-style,3,CNQ|OXY|PSX,0.7742393519419907,0.5136813502090252,0.010921262039160896,0.010915147610885993,0.24891549641880834,0.2651023503062323,-0.06502951451519534,151.76733944897228,176.5273563681373,-0.20133304516380612,-0.17524360791182902
