stock_1,stock_2,observations,correlation,volatility_1,volatility_2,volatility_difference,return_difference_std
TRGP,PBA,3950,0.6634726691447459,0.030633248028124498,0.019249994264533186,0.011383253763591311,0.02294497696610502
TS,SLB,5958,0.6630869254371277,0.02520614781485461,0.0237218423892023,0.0014843054256523103,0.020127301208503964
FANG,BP,3483,0.6621385707689366,0.03016237940097745,0.018631141995884993,0.011531237405092456,0.022642843581896745
XOM,CVE,4215,0.6620840477523477,0.0157430463567353,0.02927519107143669,0.013532144714701388,0.022239532709613916
EQNR,FANG,2078,0.661902188449581,0.02308650389249311,0.033548704565753006,0.010462200673259897,0.025163191991437246
BKR,XOM,2296,0.660817412014079,0.025216969272738986,0.018467190336496186,0.0067497789362428,0.01901223470702309
FTI,EOG,6334,0.6608100017950715,0.027381102081088595,0.0244031566323286,0.0029779454487599936,0.021497714204358753
SHEL,CVE,4215,0.6607523175118851,0.01797254756264458,0.02927519107143669,0.01130264350879211,0.022016810086871508
HAL,TS,5958,0.660367947679854,0.02689587572840514,0.02520614781485461,0.0016897279135505323,0.021525716051898697
EQNR,OXY,2078,0.6585891262253022,0.02308650389249311,0.03458964191742866,0.01150313802493555,0.02603060037379542
BKR,DVN,2296,0.6579566522274083,0.025216969272738986,0.03217406367431818,0.006957094401579194,0.02456466661594035
HAL,CNQ,6554,0.6577953611723498,0.028753327277210614,0.026035705977223836,0.0027176212999867784,0.022797878580622672
IMO,FANG,3483,0.6573862582227127,0.02094395872557473,0.03016237940097745,0.009218420675402718,0.022756338273199766
EOG,COP,9288,0.6535312796938412,0.02424920941011204,0.019899451996930072,0.004349757413181967,0.01879613164872658
KMI,PBA,3904,0.653099456457991,0.01801533455406325,0.019333546628828583,0.001318212074765332,0.015600923601642046
PBA,SHEL,3993,0.6516573448940602,0.01921082965795887,0.01806094788762582,0.0011498817703330493,0.015590003189386487
XOM,CNQ,6554,0.6508381283688587,0.016397743977896333,0.026035705977223836,0.009637961999327503,0.01977431316470243
WDS,EQNR,2078,0.6504709391433066,0.022998161038153143,0.02308650389249311,8.834285433996503e-05,0.019265791209083637
FTI,DVN,6334,0.6488994928400287,0.027381102081088595,0.027345529160011903,3.557292107669169e-05,0.022929779420560025
EOG,BKR,2296,0.6480801839890566,0.025663042700484116,0.025216969272738986,0.0004460734277451292,0.021346772317979077
SLB,PSX,3611,0.6474880381217814,0.023155137800992452,0.021123561127816888,0.002031576673175564,0.01868068195541805
OKE,CVE,4215,0.6474018215251941,0.02352832072413172,0.02927519107143669,0.005746870347304971,0.02277636951893545
