basket_type,n_stocks,stocks,test_correlation,test_r_squared,test_tracking_error,test_rmse,annualized_xom_volatility,annualized_basket_volatility,volatility_reduction,xom_final_wealth,basket_final_wealth,xom_max_drawdown,basket_max_drawdown
unrestricted,3,SLB|DVN|FANG,0.7051873540893693,0.34022844053289325,0.012735676813743197,0.012713523972389727,0.24891549641880834,0.2741542725335566,-0.10139495723594183,151.76733944897228,157.80184714672535,-0.20133304516380612,-0.19189156388631856
unrestricted,3,OXY|EQNR|CVE,0.7796573091097669,0.33104793619192807,0.012808505235858957,0.012801670651855042,0.24891549641880834,0.32463040607209603,-0.30417917221953483,151.76733944897228,181.53699661729493,-0.20133304516380612,-0.22432238456980447
unrestricted,3,HAL|OXY|VLO,0.718565230804351,0.3274838063500465,0.012838447398904907,0.01283572855084532,0.24891549641880834,0.28642029656694346,-0.150672821450345,151.76733944897228,185.56641913978314,-0.20133304516380612,-0.14401948859492153
unrestricted,3,OXY|VLO|CVE,0.7341045857264962,0.3232184886081061,0.012848413465452634,0.012876368409980682,0.24891549641880834,0.296887472494209,-0.1927239435293584,151.76733944897228,208.6989490357868,-0.20133304516380612,-0.14381976830893584
unrestricted,3,VLO|EQNR|CVE,0.7501179009706541,0.32221995227342637,0.012848554867045269,0.012885863928428685,0.24891549641880834,0.30715450276290185,-0.23397099490384687,151.76733944897228,214.6261449201093,-0.20133304516380612,-0.17471894763439988
unrestricted,3,SLB|VLO|CVE,0.6919145702156362,0.31758830083970113,0.012899287718732142,0.012929817136899616,0.24891549641880834,0.27038292191419433,-0.0862438289469385,151.76733944897228,210.55801890674428,-0.20133304516380612,-0.15277921876635758
unrestricted,3,HAL|SLB|OKE,0.6578615162431851,0.3201448946010441,0.012926646381041866,0.012905574213895401,0.24891549641880834,0.2472055771819439,0.006869476836377619,151.76733944897228,142.04351597743528,-0.20133304516380612,-0.1552070155880675
unrestricted,3,VLO|DVN|CVE,0.7286268120936756,0.3052333930101965,0.013003612088937593,0.01304633779953362,0.24891549641880834,0.29775617059169207,-0.19621387529327516,151.76733944897228,218.56318919800316,-0.20133304516380612,-0.14412089128422956
unrestricted,3,IMO|VLO|CVE,0.6865515699700421,0.30438509837229655,0.01302794015612688,0.013054300014589963,0.24891549641880834,0.2709776130852563,-0.0886329577059668,151.76733944897228,208.32098678999427,-0.20133304516380612,-0.15652868719635826
unrestricted,3,SLB|IMO|CVE,0.663712721317053,0.30845113926964896,0.013029774645378535,0.01301609129409123,0.24891549641880834,0.25530939062589675,-0.0256870074345652,151.76733944897228,174.60754675513598,-0.20133304516380612,-0.20235880135304452
