,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
EQNR,0.168686871471631,-0.07934248334474285,-0.01862668964955763,0.21688624970855644,-0.1094812794990708,0.08839313358134684,0.13045964733677098,0.0647105703528097,0.1953895508831045,-0.4433771496202095,0.193133502392851,0.31896151394924777,0.30240482992084244,-0.02186895464537757,0.3988885099634945,-0.07780400315100923
IMO,0.18550349255046317,-0.09426868979565065,-0.09679502666951315,-0.03572218389514489,-0.13153896224979025,0.00542452674433736,0.1557281774729623,-0.06775889143935705,-0.09351086529852078,-0.18314620763687156,-0.08518860215668306,-0.3370206405351438,-0.17934884310151467,-0.09621703438554399,0.3791333765058437,-0.06960314805601965
TS,0.17119874909909358,-0.09880567138549748,-0.16879412454188011,0.1814940643398911,0.14134584501227607,-0.2360790470022576,-0.13619965526118005,-0.1589913434639683,0.08270946289645488,-0.15742335503804072,0.28075205893246913,-0.16715672530533562,0.047366786186423614,0.31936046357109155,-0.06416820775717176,0.5959887345116542
COP,0.20120394491444982,-0.13264109984465097,0.015360998760984096,-0.07504025540220752,-0.1612052458497802,0.006722503157598511,0.00947967823737902,0.017475185182760537,-0.10331566319476748,-0.048369208192148086,-0.014812719374961349,0.05719679888346881,0.029429167774397975,0.027993755187367676,-0.16112507002926293,-0.024104305573870277
WMB,0.18243083878405716,0.2581004246751296,0.059946548379963896,-0.05754217023782589,0.0031492572865492543,0.04935963699722048,-0.23049795826797226,0.05576497960335205,-0.01776266308853786,-0.018908458662206046,0.09911212438942942,0.043041259799619425,-0.23501042430566382,-0.12148121572760927,0.04330456441018653,-0.04755704842243565
SLB,0.18604168246597438,-0.16599797496937072,-0.08015782259644828,0.049218664201870765,0.0707936136342565,-0.16124204904298117,-0.27050191712591987,0.028135063748669694,0.04724483175825632,0.07895178891485492,-0.13283353056772132,-0.04825967615477199,0.2091919746903521,-0.19512121874019747,-0.2984638358652601,-0.041552042302638724
VLO,0.17406020803416652,-0.20644590647740851,0.02292436349700997,-0.32918922167489784,0.35909206162267693,0.16639869246700745,0.09705697844300701,-0.12097535694077975,0.13257467768017386,-0.04045074597828681,-0.04011830930290491,0.034719531058017374,0.06659012007116659,0.058617640382329986,0.04164206914732442,0.0700240724600104
PSX,0.17965759882050847,-0.1682885154254573,0.00578324467073428,-0.29921255577696965,0.26808787605667694,0.1428590730907597,0.08279477010970487,-0.12708564074508272,0.11968980428321385,0.010368199088005356,-0.024314469697404858,0.11206356464788712,-0.024659130944480544,-0.07420558392191709,-0.030018673959894927,-0.09448824170430724
MPC,0.17946468396812187,-0.1507926281648106,0.03946927830874218,-0.32383503064221836,0.3245603686525705,0.18422366958484634,0.12082324741289424,-0.07330092475268457,0.06779398613319414,-0.03904351760565477,-0.02678856856996185,-0.00012116756395473896,-0.03503842092957723,0.028999829194354197,-0.009864728913502804,0.041113073781851125
OKE,0.18734246556755182,0.1990046393843306,0.002839208121512638,-0.07937161749057507,0.08327928787616672,0.0050143481135791965,-0.12444867254197867,0.1491323826218566,-0.0824960137819391,0.07659006855502987,0.14172910989316373,0.08310106167111556,-0.306306882525825,-0.005680196629983647,-0.04151872045405202,-0.08679124798303765
LNG,0.14758117612820454,0.1279344151455165,0.17969839052785613,-0.011038473752525205,-0.014779293583852219,0.27049369255257905,-0.10997604470552444,0.6171300531928926,0.18004918410059995,-0.3611047667170726,-0.08670244955975032,-0.21495874449922076,0.24766496622001147,0.029652119482151927,-0.20288707598132938,0.011876424915901657
OXY,0.1793604398208154,-0.12601768924482706,0.13858846853262316,-0.025927093717146098,-0.18759138706452555,-0.006244873938754787,0.017318457851253813,0.11951739179497167,-0.1894865563711132,0.15228729662727467,-0.054781375032712964,0.37652774404710876,0.007189922209515051,0.2990047590856912,0.2565420829100349,0.20404869331350367
FANG,0.19268118367394815,-0.14195576378709274,0.10667431368206746,-0.07729481124980239,-0.1724589716221973,0.016316781283375513,-0.002324447828643536,0.021149226782078534,-0.22024274806607855,0.05968472636446664,-0.03105179074965184,0.17483828119818712,0.07817603029511797,0.05032636127877291,-0.1938968422492447,0.027439973410674043
TPL,0.148557895367157,-0.016325146503415523,0.28796920767805817,0.02665889404257376,-0.01676178399775527,-0.0521029895152573,0.3063847712385206,0.14966462906580139,0.1489587730805265,0.5302323612212524,0.5510635498075164,-0.25114498378231803,0.26029328265026874,-0.04890357320908435,0.04963082964344979,-0.10499502231251497
DVN,0.19514568586419195,-0.11779084240435753,0.08053275070399045,-0.0015900549130481723,-0.16751368079269305,0.03627266411719711,-0.00036834938432062786,0.014498336342803094,-0.1996694002268753,0.07037260734728965,-0.04158191967540312,0.17010852277535574,-0.03094513185424367,0.02925101091286198,-0.13282011607114683,0.17717620717465526
EXE,0.15404634887034455,0.1862338411950719,0.4194676376058526,0.09473999979143259,-0.07058380221247457,-0.03257546945237786,0.04218847289196979,-0.3160673379220779,0.21766894388563127,-0.14663143144010612,-0.18657686174352633,-0.14354080691052193,-0.04193861796709368,-0.05385408895364907,-0.21350796479493958,0.0968729703819707
ENB,0.16327965935482572,0.38325932428010084,-0.2577681126941249,-0.13160358197515484,0.004976021587196251,-0.019798263490963044,0.06421597916923191,-0.05453629400303929,-0.048976423080611994,0.0027768448063326834,0.016709584557072398,0.009943595834089373,0.17089894338200104,0.08476139677376245,0.04565045610469021,-0.06279066928500389
CNQ,0.1984080596882201,-0.03166554422609513,-0.06303633424479287,0.029647132489198202,-0.1766390535476484,-0.043268656088894644,0.12778618789370738,-0.05549190363730689,-0.08473614432380447,-0.020513259650767772,-0.12148791763158624,-0.19737808655081102,-0.03771846502114635,-0.05232720331191158,0.044450827708148385,-0.11409094214165474
CCJ,0.1146876406180707,0.13482569570293917,0.11304622706125977,0.4060546861148013,0.5444254450836169,-0.18001660799971236,0.41707032854643405,0.18952322823248102,-0.41903765386316094,-0.047403037096984284,-0.18388106347323385,0.07608328140605854,-0.01453847199355502,-0.09511312675849748,-0.04893448673387946,0.03583498049288177
CVE,0.1927837136482513,-0.13556123471950352,-0.02861755527364323,-0.01909836281595148,-0.18713892379247477,-0.03438670400530797,0.11042600793263692,0.0022059126822869682,-0.13431541772026753,-0.03929678264707904,-0.1515543968646594,-0.2684742395463716,-0.06676979918958953,-0.013238157258242428,-0.003432015429460797,-0.00722672433056297
PBR,0.10884207365898697,-0.02378758133184473,-0.16237679990677878,0.4627185692816987,0.012414117092177775,0.7804717232837043,-0.0865335963351251,-0.21381819977694333,-0.09097917353416982,0.22380920539080867,0.00473591726648815,-0.06571269199281225,0.015292831417407386,-0.058266173218649936,-0.043333064843804496,0.06719124957084181
