episode_id,start_date,end_date,calendar_days,trading_days,mean_significant_stocks,max_significant_stocks,mean_pct_stocks_significant,max_pct_stocks_significant,mean_positive_stocks,mean_negative_stocks
28,2001-05-17,2001-07-31,76,52,4.3076923076923075,6,0.19580419580419584,0.2727272727272727,2.4615384615384617,1.8461538461538463
29,2016-02-26,2016-04-14,49,34,4.235294117647059,6,0.1210084033613445,0.17142857142857143,3.411764705882353,0.8235294117647058
30,2011-08-10,2011-09-19,41,28,4.25,6,0.14655172413793105,0.20689655172413793,0.0,4.25
31,2010-03-02,2010-03-04,3,3,4.333333333333333,6,0.16049382716049382,0.2222222222222222,0.0,4.333333333333333
32,2018-01-09,2018-04-01,83,56,4.125,6,0.11785714285714285,0.17142857142857143,3.125,1.0
33,2006-06-23,2006-08-30,69,48,3.3125,5,0.12740384615384617,0.19230769230769232,3.3125,0.0
34,2005-10-06,2005-10-09,4,2,4.0,5,0.15384615384615385,0.19230769230769232,4.0,0.0
35,2017-07-11,2017-07-31,21,15,3.8,5,0.10857142857142855,0.14285714285714285,1.0,2.8
36,2018-07-12,2018-08-02,22,16,4.0,5,0.1111111111111111,0.1388888888888889,3.0,1.0
37,2000-05-25,2000-05-31,7,4,4.5,5,0.20454545454545453,0.22727272727272727,0.5,4.0
38,1983-12-08,1984-02-01,56,38,3.5789473684210527,5,0.3976608187134504,0.5555555555555556,2.789473684210526,0.7894736842105263
39,2016-10-06,2017-01-16,103,69,3.2318840579710146,5,0.09233954451345756,0.14285714285714285,0.0,3.2318840579710146
40,2017-01-19,2017-01-23,5,3,4.0,5,0.11428571428571428,0.14285714285714285,0.0,4.0
41,2023-05-02,2023-06-25,55,37,4.081081081081081,5,0.10739687055476528,0.13157894736842105,1.6756756756756757,2.4054054054054053
42,2019-07-15,2019-08-05,22,16,3.6875,5,0.10243055555555555,0.1388888888888889,2.6875,1.0
43,1987-10-19,1987-10-21,3,3,4.0,5,0.3636363636363636,0.45454545454545453,3.6666666666666665,0.3333333333333333
44,1984-08-29,1984-12-16,110,76,3.6710526315789473,5,0.4078947368421052,0.5555555555555556,3.6710526315789473,0.0
45,2004-11-22,2004-12-01,10,7,3.857142857142857,4,0.14835164835164835,0.15384615384615385,2.857142857142857,1.0
46,2004-08-23,2004-11-18,88,63,3.7777777777777777,4,0.14529914529914523,0.15384615384615385,2.9206349206349205,0.8571428571428571
47,2001-01-02,2001-02-05,35,24,3.4583333333333335,4,0.1571969696969697,0.18181818181818182,1.5,1.9583333333333333
48,2006-05-10,2006-06-04,26,17,3.1176470588235294,4,0.11990950226244343,0.15384615384615385,2.1176470588235294,1.0
49,2000-05-17,2000-05-21,5,3,3.3333333333333335,4,0.15151515151515152,0.18181818181818182,0.3333333333333333,3.0
50,1999-12-22,2000-02-29,70,47,3.2127659574468086,4,0.14603481624758224,0.18181818181818182,0.3191489361702128,2.893617021276596
51,1988-10-17,1988-10-17,1,1,4.0,4,0.36363636363636365,0.36363636363636365,0.0,4.0
52,1995-05-11,1995-05-23,13,9,3.111111111111111,4,0.15555555555555556,0.2,0.0,3.111111111111111
