,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
TRP,1.0,0.9008264462809917,0.44366197183098594,1.0,1.0,0.0,0.2799145299145299,1.0,0.38666666666666666,1.0,1.0,0.7161016949152542,1.0,1.0,0.00516795865633075,0.46153846153846156,0.7524071526822559,1.0,1.0,0.6339434276206323,1.0,0.013071895424836602,1.0,1.0,0.6369982547993019,0.5017543859649123,0.9962546816479401,0.75,0.7932960893854749,0.3142857142857143,,0.0,0.865546218487395,0.4669603524229075,0.013888888888888888,0.652014652014652,1.0,0.9921259842519685
E,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,1.0,1.0,0.75,1.0,0.7161016949152542,1.0,0.4666666666666667,1.0,0.011904761904761904,1.0,1.0,1.0,0.9529914529914529,1.0,1.0,1.0,0.05555555555555555,0.028169014084507043,0.7738095238095238,0.722007722007722,1.0,0.8888888888888888,0.407158836689038,1.0,,1.0,0.8467966573816156,1.0,0.9285714285714286,0.4,1.0,1.0
PBA,1.0,1.0,0.1111111111111111,0.6666666666666666,1.0,0.2,1.0,1.0,0.21818181818181817,1.0,1.0,0.4666666666666667,1.0,1.0,0.5,0.6,0.8,1.0,0.06060606060606061,1.0,1.0,1.0,1.0,1.0,1.0,0.18421052631578946,1.0,1.0,0.9142857142857143,1.0,,1.0,1.0,0.041666666666666664,0.7692307692307693,1.0,1.0,1.0
EQNR,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,1.0,1.0,,1.0,1.0,1.0,1.0,0.004032258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,,1.0,1.0,1.0,0.5,1.0,1.0,1.0
IMO,0.13380281690140844,0.31645569620253167,1.0,0.008097165991902834,0.07142857142857142,1.0,0.9478260869565217,1.0,0.038461538461538464,1.0,0.00516795865633075,0.011904761904761904,0.5,0.004032258064516129,1.0,0.8787878787878788,0.03468780971258672,0.15170278637770898,0.1134020618556701,0.44505494505494503,0.2808219178082192,0.9971181556195965,0.5,1.0,0.29285714285714287,0.25,0.034858387799564274,1.0,0.37971014492753624,0.9975124378109452,,1.0,0.0010395010395010396,0.9975961538461539,1.0,0.7195121951219512,1.0,0.007246376811594203
TS,1.0,1.0,1.0,0.4782608695652174,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,0.46153846153846156,1.0,0.6,1.0,0.8787878787878788,1.0,1.0,1.0,1.0,0.8,1.0,,0.022727272727272728,0.07272727272727272,0.782608695652174,0.25555555555555554,1.0,1.0,0.030973451327433628,1.0,1.0,1.0,0.16279069767441862,1.0,0.9090909090909091,1.0,1.0,1.0
XOM,1.0,1.0,0.7451612903225806,1.0,1.0,0.0,1.0,0.9777777777777777,1.0,1.0,0.7524071526822559,1.0,0.8,1.0,0.03468780971258672,1.0,1.0,0.9672578444747613,1.0,0.5020746887966805,1.0,0.005076142131979695,1.0,1.0,0.9714828897338403,0.9707865168539326,0.9924012158054711,0.0,0.41089108910891087,0.21380846325167038,,0.784037558685446,1.0,0.44642857142857145,0.18604651162790697,0.031914893617021274,1.0,0.6951754385964912
CVX,1.0,0.9974683544303797,1.0,1.0,1.0,0.9819819819819819,1.0,1.0,0.7063492063492064,1.0,1.0,1.0,1.0,1.0,0.15170278637770898,1.0,0.9672578444747613,1.0,0.9906976744186047,0.88,0.9960159362549801,1.0,1.0,1.0,0.9819277108433735,0.993421052631579,1.0,0.8888888888888888,0.8799019607843137,1.0,,1.0,1.0,0.9965156794425087,0.75,0.2,1.0,0.8772727272727273
COP,0.9267399267399268,1.0,0.9617834394904459,1.0,0.25396825396825395,0.9916666666666667,0.6333333333333333,0.4158878504672897,0.948051948051948,1.0,1.0,0.9529914529914529,0.06060606060606061,1.0,0.1134020618556701,1.0,1.0,0.9906976744186047,1.0,0.9933774834437086,0.9175824175824175,0.975,1.0,1.0,1.0,0.9406631762652705,0.9877750611246944,0.8888888888888888,0.5171232876712328,0.6758241758241759,,1.0,1.0,0.875,0.8695652173913043,0.25396825396825395,1.0,0.9128787878787878
WMB,0.8303571428571429,0.9615384615384616,1.0,1.0,1.0,1.0,0.9595375722543352,1.0,1.0,1.0,0.6339434276206323,1.0,1.0,1.0,0.44505494505494503,0.8,0.5020746887966805,0.88,0.9933774834437086,1.0,1.0,0.2197452229299363,1.0,1.0,0.7213114754098361,0.49156118143459915,0.5255813953488372,1.0,0.8595825426944972,0.09064327485380116,,0.8382352941176471,0.7950581395348837,0.855,1.0,1.0,1.0,1.0
