,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
EQNR,0.504,0.12627986348122866,0.0007022471910112359,0.3311345646437995,0.046583850931677016,0.0036407766990291263,0.0,0.00065359477124183,0.02212705210563883,0.0,0.1296487603305785,0.22993197278911565,0.00865051903114187,1.0,0.10712742980561556,0.008111239860950173,0.06661080854629242,0.17094594594594595,0.15912117177097204,0.04822469528351881,0.004230118443316413,0.0007727975270479134,0.007173601147776184,0.001736111111111111,0.0014698677119059284,0.1300261096605744,0.0006811989100817438,0.007272727272727273,0.07397342995169082,0.0007027406886858749,0.0,0.0012853470437017994,0.13589604764482946,0.0005081300813008131,0.002564102564102564,0.014109347442680775,0.0022624434389140274,0.23679245283018868
IMO,0.11265370884569616,0.05476603119584055,0.08315166614761757,0.08774422735346359,0.005892255892255892,0.0017391304347826088,0.034023668639053255,0.010146561443066516,0.007516623301532235,0.01192504258943782,0.37707047742773625,0.06023664395840803,0.0030441400304414,0.10712742980561556,1.0,0.011418685121107266,0.28105849582172704,0.0932717297141207,0.08307165286896946,0.22040569179533756,0.04718810601163542,0.11562812395868044,0.0014540167211922936,0.0003803727653100038,0.07335603877390622,0.08657562483895903,0.14985308521057786,0.000859106529209622,0.2262295081967213,0.13073170731707318,0.0,0.08797541298501729,0.30166196299780496,0.115363283416528,0.046125461254612546,0.0539651201052978,0.0004008016032064128,0.08937823834196891
TS,0.05502846299810247,0.0514018691588785,0.0028089887640449437,0.017087667161961365,0.004322766570605188,0.05699020480854853,0.0016675931072818232,0.044751381215469614,0.029885057471264367,0.045941807044410414,0.005130228887134964,0.24777887462981243,0.021668472372697724,0.008111239860950173,0.011418685121107266,1.0,0.02468265162200282,0.04129353233830846,0.03395669291338583,0.0021431633090441492,0.06763285024154589,0.0,0.14193548387096774,0.06235827664399093,0.039792387543252594,0.03697617091207888,0.017807456872565387,0.009508716323296355,0.06123001896505012,0.012485811577752554,0.006954102920723227,0.006183745583038869,0.01780538302277433,0.01791958041958042,0.009725906277630416,0.001326259946949602,0.016455696202531647,0.03853325046612803
XOM,0.06331045003813883,0.1384499623777276,0.09838146620120597,0.0550935550935551,0.0046570702794242165,0.00034940600978336826,0.0526634382566586,0.012776831345826235,0.016710642040457344,0.0034028073160357296,0.20795194508009154,0.06947981084030556,0.0019127773527161439,0.06661080854629242,0.28105849582172704,0.02468265162200282,1.0,0.24143610013175232,0.15293040293040294,0.1364665911664779,0.12613556953179594,0.06285896617740906,0.0010968921389396709,0.00038284839203675346,0.14800225098480585,0.118508655126498,0.23112047769582017,0.00043252595155709344,0.16886102403343783,0.14911989372301562,0.0,0.08186010760953114,0.15668718522663683,0.1625544267053701,0.015495495495495495,0.13380782918149467,0.0028317152103559872,0.1577308889657558
CVX,0.16244849911712772,0.21727172717271728,0.08881578947368421,0.18345705196182396,0.012329656067488644,0.05724600309437854,0.03575592693354061,0.03728813559322034,0.0498220640569395,0.022486772486772486,0.08082408874801902,0.11244769874476987,0.00277623542476402,0.17094594594594595,0.0932717297141207,0.04129353233830846,0.24143610013175232,1.0,0.278137128072445,0.05783212161269002,0.11625752663270032,0.10100568430257979,0.06412382531785517,0.06132075471698113,0.053531118993872945,0.09860525462212132,0.1838170624450308,0.006036217303822937,0.09332113449222323,0.0703598867771937,0.0,0.08099352051835854,0.10884808013355593,0.09879518072289156,0.008044243338360985,0.03715034965034965,0.0036144578313253013,0.21012416427889208
COP,0.15964912280701754,0.20837867247007616,0.06282513005202081,0.15702479338842976,0.04186046511627907,0.06191950464396285,0.022962112514351322,0.08398744113029827,0.02977571539056458,0.026420079260237782,0.10400516795865633,0.12309310889005787,0.05772594752186589,0.15912117177097204,0.08307165286896946,0.03395669291338583,0.15293040293040294,0.278137128072445,1.0,0.10388716890264878,0.17721518987341772,0.016090104585679808,0.04373650107991361,0.04387990762124711,0.1086662153012864,0.2030474840538625,0.17852466171977302,0.00600400266844563,0.13891531874405327,0.07359482410028306,0.0,0.05290728129910948,0.10304837640821736,0.16279069767441862,0.011557788944723618,0.027178602243313203,0.0035971223021582736,0.11589113257243196
WMB,0.05313092979127135,0.01069078947368421,0.018661971830985915,0.0599058622165169,0.006692693809258227,0.022727272727272728,0.06320789185239313,0.03628196268140981,0.02509720749381407,0.008445945945945946,0.1967910936476752,0.02285467874083657,0.008357915437561455,0.04822469528351881,0.22040569179533756,0.0021431633090441492,0.1364665911664779,0.05783212161269002,0.10388716890264878,1.0,0.03146853146853147,0.1282155982033483,0.030389363722697058,0.03596757852077001,0.2101998621640248,0.15009499683343888,0.07898603967670831,0.0005733944954128441,0.11716318363717208,0.13411764705882354,0.0,0.031206975676916018,0.23905489923558026,0.06178560395427865,0.02040816326530612,0.06682966585167074,0.0005235602094240838,0.14787277984304006
SLB,0.04919236417033774,0.20972423802612483,0.15557998900494777,0.004767580452920143,0.015015015015015015,0.03509979353062629,0.09452479338842976,0.19222462203023757,0.03129584352078239,0.03842159916926272,0.05799778352419653,0.03740157480314961,0.018593371059013743,0.004230118443316413,0.04718810601163542,0.06763285024154589,0.12613556953179594,0.11625752663270032,0.17721518987341772,0.03146853146853147,1.0,0.028154327424400417,0.004369992716678805,0.021172638436482084,0.11197384552513281,0.02267818574514039,0.3117359413202934,0.009523809523809525,0.02791939791211459,0.08187435633367662,0.0,0.02824858757062147,0.008357558139534883,0.04667721518987342,0.0020604395604395605,0.006057268722466961,0.0228310502283105,0.027921406411582212
VLO,0.0013029315960912053,0.028985507246376812,0.017027151403589506,0.008998875140607425,0.0017857142857142857,0.0,0.09488692232055064,0.05320600272851296,0.010483135824977211,0.0009033423667570009,0.05427456544874069,0.0011855364552459987,0.0014641288433382138,0.0007727975270479134,0.11562812395868044,0.0,0.06285896617740906,0.10100568430257979,0.016090104585679808,0.1282155982033483,0.028154327424400417,1.0,0.026933701657458564,0.0007347538574577516,0.05520328235732935,0.0040858018386108275,0.04014766958929396,0.0,0.056704794353857384,0.1793913507741591,0.0,0.0,0.1332547169811321,0.1055800883179446,0.0006385696040868455,0.0015527950310559005,0.0024489795918367346,0.004793863854266539
PSX,0.019438444924406047,0.005957446808510639,0.0024798512089274642,0.207035175879397,0.009541984732824428,0.11732456140350878,0.008641975308641974,0.0655534941249227,0.10401087695445276,0.007827788649706457,0.005919661733615222,0.12989690721649486,0.005188067444876783,0.007173601147776184,0.0014540167211922936,0.14193548387096774,0.0010968921389396709,0.06412382531785517,0.04373650107991361,0.030389363722697058,0.004369992716678805,0.026933701657458564,1.0,0.3145299145299145,0.022872827081427266,0.004262574595055414,0.0030193236714975845,0.01735357917570499,0.0785385500575374,0.06315789473684211,0.0,0.07649667405764966,0.05627306273062731,0.023685457129322594,0.00205761316872428,0.0014925373134328358,0.09671848013816926,0.0087248322147651
