date,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
1980-03-31,,,,,,,,5.5227972887,,,,,,,,,0.9439188488,3.6676079079,,,,,,,,,,,,,,,,3.3766603079,,,,
1980-04-01,,,,,,,,5.4924121804,,,,,,,,,0.9254905783,3.639610901,,,,,,,,,,,,,,,,3.3863633548,,,,
1980-04-02,,,,,,,,5.5756673772,,,,,,,,,0.9214135273,3.7376004253,,,,,,,,,,,,,,,,3.4542846828,,,,
1980-04-03,,,,,,,,5.6139526137,,,,,,,,,0.9254905783,3.6676079079,,,,,,,,,,,,,,,,3.4154724954,,,,
1980-04-07,,,,,,,,5.560474823,,,,,,,,,0.9051053233,3.4929065847,,,,,,,,,,,,,,,,3.3184420268,,,,
1980-04-08,,,,,,,,5.6364375938,,,,,,,,,0.8969512213,3.5556198802,,,,,,,,,,,,,,,,3.3572542142,,,,
1980-04-09,,,,,,,,5.6899153845,,,,,,,,,0.9377217313,3.7515989287,,,,,,,,,,,,,,,,3.4639877297,,,,
1980-04-10,,,,,,,,5.8035556896,,,,,,,,,0.9398417978,3.8075929426,,,,,,,,,,,,,,,,3.4057694485,,,,
1980-04-11,,,,,,,,5.8418409261,,,,,,,,,0.9336446803,3.8143122243,,,,,,,,,,,,,,,,3.4154724954,,,,
1980-04-14,,,,,,,,5.7962632636,,,,,,,,,0.9276106448,3.8355899495,,,,,,,,,,,,,,,,3.3960664017,,,,
1980-04-15,,,,,,,,5.7883631354,,,,,,,,,0.9357647468,3.8563077346,,,,,,,,,,,,,,,,3.3766603079,,,,
1980-04-16,,,,,,,,5.7124003646,,,,,,,,,0.9214135273,3.7376004253,,,,,,,,,,,,,,,,3.3378481205,,,,
1980-04-17,,,,,,,,5.6972078105,,,,,,,,,0.9316876958,3.7376004253,,,,,,,,,,,,,,,,3.3137845643,,,,
1980-04-18,,,,,,,,5.5835675053,,,,,,,,,0.9235335938,3.6743271896,,,,,,,,,,,,,,,,3.3230994893,,,,
1980-04-21,,,,,,,,5.4237418356,,,,,,,,,0.9316876958,3.6603286861,,,,,,,,,,,,,,,,3.3184420268,,,,
1980-04-22,,,,,,,,5.5835675053,,,,,,,,,0.9643041039,3.8915839634,,,,,,,,,,,,,,,,3.3766603079,,,,
1980-04-23,,,,,,,,5.644337722,,,,,,,,,0.9683811549,3.8635869565,,,,,,,,,,,,,,,,3.4154724954,,,,
1980-04-24,,,,,,,,5.6212450397,,,,,,,,,0.9662610883,3.7863152173,,,,,,,,,,,,,,,,3.4201299579,,,,
1980-04-25,,,,,,,,5.7579780271,,,,,,,,,0.9744151904,3.849588453,,,,,,,,,,,,,,,,3.6483456201,,,,
1980-04-28,,,,,,,,5.9481888052,,,,,,,,,0.9806123079,3.8775854599,,,,,,,,,,,,,,,,3.6483456201,,,,
1980-04-29,,,,,,,,5.940288677,,,,,,,,,0.9846893589,3.8915839634,,,,,,,,,,,,,,,,3.6192364795,,,,
1980-04-30,,,,,,,,5.9937664677,,,,,,,,,0.9907233944,3.9615764807,,,,,,,,,,,,,,,,3.6095334326,,,,
1980-05-01,,,,,,,,6.0010588937,,,,,,,,,0.9887664099,3.9055824668,,,,,,,,,,,,,,,,3.5901273389,,,,
1980-05-02,,,,,,,,5.9554812312,,,,,,,,,0.9887664099,3.898303245,,,,,,,,,,,,,,,,3.5707212452,,,,
1980-05-05,,,,,,,,5.9633813594,,,,,,,,,1.0029545474,3.8143122243,,,,,,,,,,,,,,,,3.580424292,,,,
1980-05-06,,,,,,,,6.0618291103,,,,,,,,,1.0151857004,3.7935944391,,,,,,,,,,,,,,,,3.5610181983,,,,
1980-05-07,,,,,,,,6.0770216645,,,,,,,,,0.9907233944,3.8635869565,,,,,,,,,,,,,,,,3.4930968703,,,,
1980-05-08,,,,,,,,5.9937664677,,,,,,,,,0.9866463434,3.7863152173,,,,,,,,,,,,,,,,3.4736907766,,,,
1980-05-09,,,,,,,,5.9633813594,,,,,,,,,0.9724582059,3.7023241965,,,,,,,,,,,,,,,,3.3572542142,,,,
1980-05-12,,,,,,,,5.940288677,,,,,,,,,0.9621840373,3.6743271896,,,,,,,,,,,,,,,,3.299035933,,,,
1980-05-13,,,,,,,,5.9554812312,,,,,,,,,0.9784922414,3.7096034183,,,,,,,,,,,,,,,,3.3960664017,,,,
1980-05-14,,,,,,,,6.0162514478,,,,,,,,,0.9887664099,3.6956049149,,,,,,,,,,,,,,,,3.4736907766,,,,
1980-05-15,,,,,,,,6.0010588937,,,,,,,,,0.9765352569,3.6956049149,,,,,,,,,,,,,,,,3.4589421453,,,,
1980-05-16,,,,,,,,6.0089590219,,,,,,,,,0.9846893589,3.7795959357,,,,,,,,,,,,,,,,3.3863633548,,,,
1980-05-19,,,,,,,,5.9858663395,,,,,,,,,1.0173057669,3.8283107277,,,,,,,,,,,,,,,,3.4154724954,,,,
1980-05-20,,,,,,,,5.9554812312,,,,,,,,,1.0151857004,3.8563077346,,,,,,,,,,,,,,,,3.3863633548,,,,
1980-05-21,,,,,,,,6.031444002,,,,,,,,,1.0192627514,3.8635869565,,,,,,,,,,,,,,,,3.3619116767,,,,
1980-05-22,,,,,,,,6.1377918811,,,,,,,,,1.033613971,3.9755749842,,,,,,,,,,,,,,,,3.4930968703,,,,
1980-05-23,,,,,,,,6.1912696718,,,,,,,,,1.0497590929,4.0035719911,,,,,,,,,,,,,,,,3.5078455015,,,,
1980-05-27,,,,,,,,6.2216547801,,,,,,,,,1.0641103125,4.0875630119,,,,,,,,,,,,,,,,3.6386425732,,,,
1980-05-28,,,,,,,,6.3960653019,,,,,,,,,1.0641103125,4.2275480466,,,,,,,,,,,,,,,,3.793891323,,,,
1980-05-29,,,,,,,,6.2137546519,,,,,,,,,1.033613971,4.0735645084,,,,,,,,,,,,,,,,3.7065639012,,,,
1980-05-30,,,,,,,,6.1912696718,,,,,,,,,1.0437250575,4.0942822936,,,,,,,,,,,,,,,,3.6677517138,,,,
1980-06-02,,,,,,,,6.1985620978,,,,,,,,,1.0396480064,4.0942822936,,,,,,,,,,,,,,,,3.6095334326,,,,
1980-06-03,,,,,,,,6.2520398884,,,,,,,,,1.037691022,4.0455675015,,,,,,,,,,,,,,,,3.6242820639,,,,
1980-06-04,,,,,,,,6.4416429644,,,,,,,,,1.0681873635,4.1642748109,,,,,,,,,,,,,,,,3.6968608544,,,,
1980-06-05,,,,,,,,6.4720280727,,,,,,,,,1.057913195,4.1155600188,,,,,,,,,,,,,,,,3.7356730418,,,,
1980-06-06,,,,,,,,6.4872206268,,,,,,,,,1.061990246,4.1642748109,,,,,,,,,,,,,,,,3.8327035104,,,,
1980-06-09,,,,,,,,6.5176057352,,,,,,,,,1.070144348,4.2135495431,,,,,,,,,,,,,,,,3.9200309322,,,,
1980-06-10,,,,,,,,6.6087610601,,,,,,,,,1.1048808225,4.2762628386,,,,,,,,,,,,,,,,3.8858762072,,,,
1980-06-11,,,,,,,,6.7758791559,,,,,,,,,1.1272230621,4.4162478733,,,,,,,,,,,,,,,,3.9976553071,,,,
